City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,busselton,-33.6445,115.3489,302.39,83,2,5.41,Australia/Perth,1675895673
1,ewa beach,21.3156,-158.0088,298.69,54,0,7.72,Pacific/Honolulu,1675895674
2,yellowknife,62.4541,-114.3774,253.66,84,20,2.57,America/Yellowknife,1675895676
3,tuktoyaktuk,69.444,-133.0319,245.96,68,20,2.06,America/Inuvik,1675895678
4,saskylakh,71.965,114.0939,235.87,100,83,2.89,Asia/Yakutsk,1675895679
5,mount gambier,-37.8247,140.782,300.03,51,5,2.09,Australia/Adelaide,1675895680
6,farim,36.1758,53.2654,275.26,100,100,1.11,Asia/Tehran,1675895682
7,punta arenas,-53.1626,-70.9078,290.2,67,75,10.8,America/Punta_Arenas,1675895683
8,nanakuli,21.3891,-158.1523,298.7,43,0,7.72,Pacific/Honolulu,1675895684
9,sorland,61.8986,5.7913,279.9,81,100,7.72,Europe/Oslo,1675895686
10,castro,45.803,10.0671,276.88,41,99,0.89,Europe/Rome,1675895687
11,cape town,-33.929,18.4174,298.62,67,0,6.71,Africa/Johannesburg,1675895688
12,port hardy,50.7244,-127.4976,278.41,87,100,7.72,America/Vancouver,1675895689
13,new norfolk,-42.7802,147.0615,294.19,61,100,0.45,Australia/Hobart,1675895691
14,chipinge,-20.1889,32.6194,301.16,89,77,1.44,Africa/Harare,1675895692
15,ploufragan,48.4893,-2.7933,280.53,84,0,2.06,Europe/Paris,1675895693
16,tuatapere,-46.1323,167.6908,287.16,73,92,4.64,Pacific/Auckland,1675895694
17,esperance,-33.8582,121.8932,294.16,71,92,6.31,Australia/Perth,1675895695
18,mataura,-46.1927,168.8643,286.74,85,95,3.72,Pacific/Auckland,1675895697
19,chokurdakh,70.6194,147.9024,242.33,97,100,2.08,Asia/Srednekolymsk,1675895701
20,albany,42.6512,-73.755,279.05,60,20,4.12,America/New_York,1675895703
21,palmas bellas,9.2281,-80.0857,300.9,81,40,6.08,America/Panama,1675895705
22,ribeira grande,37.8225,-25.5195,287.37,58,75,2.57,Atlantic/Azores,1675895707
23,coahuayana,18.622,-100.3485,303.46,24,0,1.99,America/Mexico_City,1675895710
24,vaini,-21.1926,-175.1773,302.31,79,75,4.12,Pacific/Tongatapu,1675895711
25,gold coast,-28.0024,153.4146,298.49,89,82,6.08,Australia/Brisbane,1675895713
26,puerto ayora,-0.7472,-90.3134,301.46,89,96,4.02,Pacific/Galapagos,1675895714
27,sept-iles,50.211,-66.3791,270.8,66,20,6.17,America/Toronto,1675895716
28,butaritari,2.9205,172.9189,300.57,82,98,9.29,Pacific/Tarawa,1675895717
29,nikolskoye,59.7035,30.7861,273.92,95,100,3.73,Europe/Moscow,1675895719
30,ilulissat,69.2197,-51.0986,252.31,54,0,1.54,America/Nuuk,1675895721
31,rikitea,-23.123,-134.968,299.92,73,21,5.6,Pacific/Gambier,1675895722
32,falealupo,-13.4992,-172.7862,301.19,78,98,6.98,Pacific/Apia,1675895724
33,ushuaia,-54.8061,-68.3185,290.54,72,100,1.03,America/Argentina/Ushuaia,1675895726
34,cabo san lucas,22.8939,-109.9201,296.28,40,0,8.23,America/Mazatlan,1675895727
35,amderma,69.7522,61.6623,271.09,95,100,5.24,Europe/Moscow,1675895730
36,cherskiy,12.0,12.0,306.99,21,37,4.17,Africa/Lagos,1675895731
37,karimganj,24.8647,92.3681,302.77,62,46,1.6,Asia/Kolkata,1675895733
38,kavieng,-2.5735,150.7952,301.76,76,95,3.06,Pacific/Port_Moresby,1675895735
39,jamestown,-15.9277,-5.7161,296.23,77,38,6.33,Atlantic/St_Helena,1675895736
40,saldanha,-32.9978,17.9456,295.85,68,47,3.69,Africa/Johannesburg,1675895738
41,diplo,24.5026,69.551,305.87,52,15,4.05,Asia/Karachi,1675895739
42,sao filipe,14.8953,-24.4969,294.59,72,29,5.29,Atlantic/Cape_Verde,1675895740
43,pevek,69.7028,170.2747,245.43,100,100,3.57,Asia/Anadyr,1675895741
44,hobart,-42.8825,147.3281,292.62,71,75,2.57,Australia/Hobart,1675895743
45,hithadhoo,1.7959,73.3876,300.77,71,78,3.34,Indian/Maldives,1675895744
46,saint-pierre,48.3833,7.4719,277.99,70,0,0.56,Europe/Paris,1675895745
47,kavaratti,10.5672,72.6395,299.83,76,90,2.56,Asia/Kolkata,1675895746
48,ippy,6.2606,21.2,311.58,15,4,3.31,Africa/Bangui,1675895748
49,mabaruma,8.2037,-59.7849,302.13,88,75,1.82,America/Guyana,1675895749
50,atuona,-9.8037,-139.0426,299.83,80,16,8.43,Pacific/Marquesas,1675895750
51,attawapiskat,52.9244,-82.427,258.84,61,0,1.54,America/Nipigon,1675895751
52,mar del plata,-37.9977,-57.5483,301.56,80,0,4.12,America/Argentina/Buenos_Aires,1675895753
53,goroka,-6.073,145.3933,293.58,95,99,0.33,Pacific/Port_Moresby,1675895754
54,arroyo,-15.5311,-69.9098,285.33,68,82,4.14,America/Lima,1675895755
55,hohhot,40.8338,111.6731,274.15,100,75,1.0,Asia/Shanghai,1675895756
56,hermanus,-34.4175,19.2361,300.06,79,0,6.61,Africa/Johannesburg,1675895757
57,isangel,-19.5411,169.2811,299.76,89,100,5.14,Pacific/Efate,1675895759
58,mogadishu,2.0349,45.3419,301.19,82,6,7.39,Africa/Mogadishu,1675895760
59,dhidhdhoo,6.889,73.1134,300.08,72,99,0.99,Indian/Maldives,1675895761
60,hidalgotitlan,17.7725,-94.6464,300.87,75,0,3.53,America/Mexico_City,1675895763
61,barentsburg,78.0654,14.2172,271.02,86,100,4.79,Arctic/Longyearbyen,1675895765
62,mocuba,-16.8392,36.9856,306.33,96,100,1.36,Africa/Maputo,1675895766
63,lorengau,-2.033,147.2789,301.36,80,100,4.72,Pacific/Port_Moresby,1675895768
64,katsuura,35.1522,140.3207,282.11,55,63,6.82,Asia/Tokyo,1675895769
65,cap-aux-meules,47.3775,-61.8662,271.19,86,75,5.14,America/Halifax,1675895771
66,farsund,58.0387,6.5848,279.48,100,100,12.25,Europe/Oslo,1675895772
67,east london,-33.0192,27.8999,295.51,90,100,0.74,Africa/Johannesburg,1675895774
68,hope mills,34.9704,-78.9453,295.8,36,0,1.54,America/New_York,1675895775
69,natitingou,10.3052,1.3809,309.48,15,84,2.35,Africa/Porto-Novo,1675895777
70,puerto carreno,6.188,-67.4895,308.24,52,20,4.63,America/Bogota,1675895778
71,husavik,66.0433,-17.341,268.13,71,99,6.06,Atlantic/Reykjavik,1675895780
72,atar,20.5182,-13.0544,300.12,16,100,2.02,Africa/Nouakchott,1675895782
73,merauke,-8.4903,140.3956,300.66,90,100,5.45,Asia/Jayapura,1675895783
74,korhogo,9.4575,-5.6342,309.14,61,100,3.99,Africa/Abidjan,1675895785
75,lebu,-37.61,-73.6559,292.14,85,2,4.94,America/Santiago,1675895788
76,sisimiut,66.9372,-53.6665,255.48,78,93,3.67,America/Nuuk,1675895790
77,vytegra,61.0065,36.4515,274.61,96,97,2.74,Europe/Moscow,1675895791
78,rawson,-43.2991,-65.1057,303.09,35,78,10.02,America/Argentina/Catamarca,1675895794
79,nanortalik,60.14,-45.2429,272.55,83,100,1.75,America/Nuuk,1675895795
80,dhanera,24.5079,72.0235,305.28,26,8,1.43,Asia/Kolkata,1675895797
81,khatanga,71.9819,102.4715,231.56,100,62,1.98,Asia/Krasnoyarsk,1675895798
82,port blair,11.6645,92.739,301.43,74,85,3.18,Asia/Kolkata,1675895800
83,phuthaditjhaba,-28.5342,28.8163,292.28,98,100,2.49,Africa/Johannesburg,1675895801
84,wuwei,37.9289,102.636,277.98,51,14,2.08,Asia/Shanghai,1675895802
85,graaff-reinet,-32.2535,24.5336,298.32,91,100,1.88,Africa/Johannesburg,1675895804
86,tocopilla,-22.0887,-70.1961,297.8,75,58,3.21,America/Santiago,1675895805
87,presidencia roque saenz pena,-26.7909,-60.441,314.67,23,70,1.12,America/Argentina/Cordoba,1675895806
88,muisne,0.6104,-80.0186,301.44,80,17,3.16,America/Guayaquil,1675895808
89,chuy,-33.6938,-53.4561,304.72,79,100,4.28,America/Montevideo,1675895809
90,capitan bado,-23.2653,-55.5373,304.19,66,2,3.43,America/Asuncion,1675895810
91,kaitangata,-46.2817,169.8464,287.57,72,70,6.03,Pacific/Auckland,1675895812
92,sentyabrskiy,12.0,12.0,306.99,21,37,4.17,Africa/Lagos,1675895813
93,goshogawara,40.8076,140.4459,271.94,53,100,8.86,Asia/Tokyo,1675895814
94,batatais,-20.8929,-47.5921,301.18,91,5,1.02,America/Sao_Paulo,1675895815
95,shchelyayur,12.0,12.0,306.99,21,37,4.17,Africa/Lagos,1675895813
96,cidreira,-30.1657,-50.2183,300.74,82,1,7.97,America/Sao_Paulo,1675895817
97,ko samui,9.5014,99.9956,297.69,74,20,3.6,Asia/Bangkok,1675895819
98,avarua,-21.2075,-159.7708,302.14,74,42,5.66,Pacific/Rarotonga,1675895820
99,lady frere,-31.7028,27.2336,290.15,97,100,2.57,Africa/Johannesburg,1675895821
100,hokitika,-42.7179,170.9646,289.73,53,79,4.33,Pacific/Auckland,1675895822
101,georgetown,6.8137,-58.1624,301.14,74,20,4.12,America/Guyana,1675895824
102,ekibastuz,51.7276,75.3289,257.61,100,90,1.27,Asia/Almaty,1675895826
103,airai,-8.9266,125.4092,294.77,92,99,1.24,Asia/Dili,1675895828
104,guerrero negro,27.971,-114.0364,294.21,20,0,4.89,America/Mazatlan,1675895830
105,guadalupe y calvo,26.0915,-106.9617,288.77,11,0,3.52,America/Chihuahua,1675895831
